ego2exo_val_f1,ego2exo_val_map10,epoch,exo2ego_val_f1,exo2ego_val_map10,regular_f1,regular_map10,step,train_loss_epoch,train_loss_step,train_score,train_tau,val_score,val_tau
,,90,,,,,2703,,0.08212047815322876,,,,
,,90,,,,,2707,,0.08299143612384796,,,,
,,90,,,,,2711,,0.0883110985159874,,,,
,,90,,,,,2715,,0.06987441331148148,,,,
,,90,,,,,2719,,0.08494439721107483,,,,
,,90,,,,,2723,,0.07745619118213654,,,,
,,90,,,,,2727,,0.07365366816520691,,,,
,,90,,,,,2729,0.08061205595731735,,,,,
,,91,,,,,2731,,0.08064751327037811,,,,
,,91,,,,,2735,,0.07779818773269653,,,,
,,91,,,,,2739,,0.08276431262493134,,,,
,,91,,,,,2743,,0.0806104764342308,,,,
,,91,,,,,2747,,0.0718468427658081,,,,
,,91,,,,,2751,,0.07642638683319092,,,,
,,91,,,,,2755,,0.08554604649543762,,,,
,,91,,,,,2759,,0.07223399728536606,,,,
,,91,,,,,2759,0.0800892785191536,,,,,
,,92,,,,,2763,,0.08198343217372894,,,,
,,92,,,,,2767,,0.08136092871427536,,,,
,,92,,,,,2771,,0.08314739912748337,,,,
,,92,,,,,2775,,0.07484548538923264,,,,
,,92,,,,,2779,,0.06780180335044861,,,,
,,92,,,,,2783,,0.08676572144031525,,,,
,,92,,,,,2787,,0.08314111083745956,,,,
,,92,,,,,2789,0.07991243898868561,,,,,
,,93,,,,,2791,,0.08233305811882019,,,,
,,93,,,,,2795,,0.0794394239783287,,,,
,,93,,,,,2799,,0.07463270425796509,,,,
,,93,,,,,2803,,0.07688277214765549,,,,
,,93,,,,,2807,,0.08098839968442917,,,,
,,93,,,,,2811,,0.07977048307657242,,,,
,,93,,,,,2815,,0.07630793750286102,,,,
,,93,,,,,2819,,0.07092908024787903,,,,
,,93,,,,,2819,0.0795409306883812,,,,,
,,94,,,,,2823,,0.07870517671108246,,,,
,,94,,,,,2827,,0.07435233891010284,,,,
,,94,,,,,2831,,0.08890148997306824,,,,
,,94,,,,,2835,,0.08816178143024445,,,,
,,94,,,,,2839,,0.0846724659204483,,,,
,,94,,,,,2843,,0.08543126285076141,,,,
,,94,,,,,2847,,0.07866047322750092,,,,
,,94,,,,,2849,0.0798100158572197,,,,,
,,95,,,,,2851,,0.08045163750648499,,,,
,,95,,,,,2855,,0.08375226706266403,,,,
,,95,,,,,2859,,0.08100669831037521,,,,
,,95,,,,,2863,,0.08071036636829376,,,,
,,95,,,,,2867,,0.08858754485845566,,,,
,,95,,,,,2871,,0.08482599258422852,,,,
,,95,,,,,2875,,0.07654117047786713,,,,
,,95,,,,,2879,,0.07560398429632187,,,,
,,95,,,,,2879,0.07913274317979813,,,,,
,,96,,,,,2883,,0.08633163571357727,,,,
,,96,,,,,2887,,0.08260570466518402,,,,
,,96,,,,,2891,,0.08075504750013351,,,,
,,96,,,,,2895,,0.07660296559333801,,,,
,,96,,,,,2899,,0.06882160902023315,,,,
,,96,,,,,2903,,0.0858345553278923,,,,
,,96,,,,,2907,,0.07447174936532974,,,,
,,96,,,,,2909,0.07795412838459015,,,,,
,,97,,,,,2911,,0.06901112198829651,,,,
,,97,,,,,2915,,0.07575031369924545,,,,
,,97,,,,,2919,,0.07949632406234741,,,,
,,97,,,,,2923,,0.0777352973818779,,,,
,,97,,,,,2927,,0.07582496106624603,,,,
,,97,,,,,2931,,0.0711924135684967,,,,
,,97,,,,,2935,,0.07955866307020187,,,,
,,97,,,,,2939,,0.07719607651233673,,,,
,,97,,,,,2939,0.0772000253200531,,,,,
,,98,,,,,2943,,0.06963082402944565,,,,
,,98,,,,,2947,,0.07274992763996124,,,,
,,98,,,,,2951,,0.07098718732595444,,,,
,,98,,,,,2955,,0.0695255845785141,,,,
,,98,,,,,2959,,0.07428138703107834,,,,
,,98,,,,,2963,,0.0742563009262085,,,,
,,98,,,,,2967,,0.08318305760622025,,,,
,,98,,,,,2969,0.07499179244041443,,,,,
,,99,,,,,2971,,0.07092791795730591,,,,
,,99,,,,,2975,,0.07942850142717361,,,,
,,99,,,,,2979,,0.07052910327911377,,,,
,,99,,,,,2983,,0.07233744859695435,,,,
,,99,,,,,2987,,0.0745839923620224,,,,
,,99,,,,,2991,,0.07779528200626373,,,,
,,99,,,,,2995,,0.0728253498673439,,,,
,,99,,,,,2999,,0.07843439280986786,,,,
0.6994186639785767,0.7557333111763,99,0.70746910572052,0.7117807269096375,0.7107899188995361,0.6523143649101257,2999,,,0.9720564484596252,0.9915503263473511,0.7549730539321899,0.9915494918823242
,,99,,,,,2999,0.07534536719322205,,,,,
,,100,,,,,3003,,0.07011949270963669,,,,
,,100,,,,,3007,,0.06990160793066025,,,,
,,100,,,,,3011,,0.0757010281085968,,,,
,,100,,,,,3015,,0.08882199227809906,,,,
,,100,,,,,3019,,0.06962116062641144,,,,
,,100,,,,,3023,,0.06898181140422821,,,,
,,100,,,,,3027,,0.06868487596511841,,,,
,,100,,,,,3029,0.0747743472456932,,,,,
,,101,,,,,3031,,0.07621654123067856,,,,
,,101,,,,,3035,,0.07667368650436401,,,,
,,101,,,,,3039,,0.07822947949171066,,,,
,,101,,,,,3043,,0.06628604233264923,,,,
,,101,,,,,3047,,0.07834310829639435,,,,
,,101,,,,,3051,,0.08143574744462967,,,,
,,101,,,,,3055,,0.06973141431808472,,,,
,,101,,,,,3059,,0.07834675908088684,,,,
,,101,,,,,3059,0.07705771923065186,,,,,
,,102,,,,,3063,,0.08208863437175751,,,,
,,102,,,,,3067,,0.07382987439632416,,,,
,,102,,,,,3071,,0.0720294862985611,,,,
,,102,,,,,3075,,0.07192490249872208,,,,
,,102,,,,,3079,,0.0781337171792984,,,,
,,102,,,,,3083,,0.07142189145088196,,,,
,,102,,,,,3087,,0.0763862282037735,,,,
,,102,,,,,3089,0.07564790546894073,,,,,
,,103,,,,,3091,,0.07462095469236374,,,,
,,103,,,,,3095,,0.07791532576084137,,,,
,,103,,,,,3099,,0.0705152079463005,,,,
,,103,,,,,3103,,0.07682931423187256,,,,
,,103,,,,,3107,,0.07624566555023193,,,,
,,103,,,,,3111,,0.07786616683006287,,,,
,,103,,,,,3115,,0.07081442326307297,,,,
,,103,,,,,3119,,0.08289788663387299,,,,
,,103,,,,,3119,0.07577762752771378,,,,,
,,104,,,,,3123,,0.08241240680217743,,,,
,,104,,,,,3127,,0.07376512140035629,,,,
,,104,,,,,3131,,0.06998499482870102,,,,
,,104,,,,,3135,,0.07584872096776962,,,,
,,104,,,,,3139,,0.07690546661615372,,,,
,,104,,,,,3143,,0.07015123963356018,,,,
,,104,,,,,3147,,0.07802362740039825,,,,
,,104,,,,,3149,0.07434011250734329,,,,,
